title,overview,genres,rating
Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.","Action, Adventure, Drama",7.133
Creation of the Gods II: Demon Force,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.","Action, Fantasy, War",6.3
Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","Action, Thriller, Crime",7.401
Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.","Action, Thriller, Drama",6.9
Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","Horror, Mystery",7.15
My Oxford Year,An ambitious American fulfilling her dream of studying at Oxford falls for a charming Brit hiding a secret that may upend her perfectly planned life.,"Romance, Comedy, Drama",7.17
Shadow of God,"While performing an unauthorized exorcism on his father, an elite exorcist suspects the entity he's doing battle with might be a holy being – perhaps even God.",Horror,5.817
28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.","Horror, Thriller, Science Fiction",6.766
The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action, Crime, Thriller",7.5
Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",Horror,7.383
Abandoned Man,"After serving time in prison for his brother's crime, a man warily reunites with family, finding hope and healing in a life-changing bond with his niece.",Drama,6.7
Popeye's Revenge,The legend of Popeye haunts a group of counsellors as they intend to open a summer camp.,Horror,5.2
Marriage Unplugged,"Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.","Science Fiction, Comedy, Drama",7.0
xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","Action, Adventure, Thriller, Crime",5.959
Victoria,"Victoria is a woman betrayed, now on a mission for revenge and destroying anything that gets in her way.",Action,6.333
Stepmom's Desire,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.","Drama, Romance",7.1
Murder Company,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French Resistance behind enemy lines to assassinate a high-value Nazi target.","War, Action",5.7
Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.","Action, Science Fiction, Adventure",7.394
Borders of Love,"After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them. Without resorting to exploitation, Tomasz Wiński’s feature debut considers questions that are taboo for many couples. Borders of Love explores not only various forms of intimacy but also ways of depicting it on the big screen, since, among others, the protagonists themselves film each other on their mobile phones. Appearing in the main roles are Matyáš Řezníček and Hana Vagnerová, who collaborated on the film’s story and script as well.","Drama, Romance",6.231
Spermageddon,"Two narrative threads - one is an emerging love story between two awkward teens, Jens and Lisa, who are having sex for the first time and the other is an eventful quest of Simon the Semen and his friends to reach the golden goal, the Egg.","Animation, Comedy, Adventure",7.053
Night Always Comes,"Facing eviction in a city her family can no longer afford, a woman plunges into a desperate and increasingly dangerous all-night search to raise $25,000.","Thriller, Drama, Crime",6.094
Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","Comedy, Romance",5.8
Shaman,A Missionary converting an Indigenous Community in a remote Ecuadorian volcano must come to terms with her own Faith when her son is possessed by dark forces older than her own religion.,Horror,5.583
Bonjour Tristesse,"At the height of summer, 18-year-old Cécile is relaxing by the French seaside with her father and falling in love with her new boyfriend. The arrival of her late mother's enigmatic friend turns her world upside down.","Romance, Drama",6.133
Freakier Friday,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.","Comedy, Fantasy, Family",6.933
Happy Gilmore 2,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",Comedy,6.717
Bride Hard,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.","Action, Comedy",5.7
Skin. Like. Sun.,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",Romance,6.0
Nobody 2,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.","Action, Thriller",7.302
A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","Family, Fantasy, Comedy, Adventure, Action",6.394
Dirty Ice Cream,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs.",Drama,5.25
Phantom,"In 1933, when Korea was under Japanese occupation, five people in Gyeongseong are suspected to be ""Phantom"" spies of the anti-Japanese organization.","Action, Thriller, Crime",6.9
My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","Romance, Drama",7.782
Ne Zha,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.","Animation, Fantasy, Adventure",7.902
Site,"After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present.","Science Fiction, Thriller, Horror",6.273
Materialists,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.","Romance, Drama",6.739
Hallow Road,Two parents enter a race against time when they receive a distressing late-night phone call from their daughter after she caused a tragic car accident.,"Drama, Horror, Thriller",6.7
"Yours, Mine & Ours","Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage.","Comedy, Family, Romance",6.178
A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","Action, Crime, Thriller",6.711
Screamboat,A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,"Horror, Comedy",5.336
Man with No Past,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.","Action, Drama",6.396
The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.","Horror, Drama, Thriller",5.778
Red Sonja,A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,"Adventure, Action, Fantasy",5.694
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Animation, Adventure, Family, Comedy",7.04
Tubérculo Presidente,"Tubérculo gets elected President of the Dominican Republic, with his friend Tirson as Vice-President and counselor.",Comedy,7.5
Ligaw,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.","Drama, Romance",7.25
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",8.46
Dangerous Animals,"A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.","Horror, Thriller",6.513
Jokōsei torio: seikan shiken,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?","Romance, Drama",6.6
Eddington,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","Western, Comedy, Crime",6.475
Lembayung,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.","Horror, Thriller",7.2
Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","Action, Comedy, Science Fiction",7.584
Guns Up,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.","Action, Comedy, Crime",6.875
Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.","Action, Adventure, Thriller",7.525
The Adolescent,"In the summer of 1939, 13-year-old Marie goes with her parents to visit her grandparents in a small town near Avignon. Marie discovers her femininity and falls for a young Jewish doctor, but he prefers Eva, Marie's mother.",Drama,4.591
Heads of State,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.","Action, Thriller, Comedy",6.912
The Amateur,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.","Thriller, Action",6.985
Kaiju No. 8: Mission Recon,"In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.","Animation, Action, Science Fiction",7.922
Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.","Horror, Action, Fantasy, Adventure",5.931
Lego Disney Princess: Villains Unite,"After Ariel, Moana, Tiana, Rapunzel, and Snow White thwarted Gaston's plan to take over all of their kingdoms, he calls upon Ursula, Jafar, and the Evil Queen to help take the Princesses down once and for all. The Princesses learn about Gaston's scheme and recruit a few friends of their own with the help of Magic Mirror: Aurora, Belle, and Cinderella! Together, the Princesses team up for an ultimate showdown of good versus evil.","Animation, Comedy, Fantasy, Adventure, Family",10.0
The Old Guard 2,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,"Action, Fantasy",6.0
Abraham's Boys,"Max and Rudy Van Helsing have spent their lives under the strict and overprotective rule of their father, Abraham. Unaware of his dark past, they struggle to understand his paranoia and increasingly erratic behavior. But when they begin to uncover the violent truths behind their father’s history with Dracula, their world unravels, forcing them to confront the terrifying legacy they were never meant to inherit.",Horror,5.467
The Bad Guys,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.","Family, Comedy, Crime, Adventure, Animation",7.533
Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","Adventure, Fantasy",7.901
The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,Horror,0.0
The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.","Horror, Thriller",7.539
The First Time,"With the coming of summer, three high school buddies--Kenny Leeds, Mike Decker, and Tommy Kingsley--anticipate their initiation into the pleasures of manhood. But Kenny is separated from his friends and sent to stay with his grandparents in Buffalo while his father, a widowed salesman, leaves on a business trip with his secretary-fiancée. Bored and alone in a strange city, Kenny writes his two friends letters about his adventures at ""Rosie's,"" a fictitious brothel across the Canadian border in Niagara Falls. His lie quickly backfires.",Comedy,5.158
Sorority,"A tale of seduction and mystery. A fearless pre-law student joins an elite sorority led by a powerful heiress. As secrets unfold, she’s torn between the woman who awakened her desire and a truth that could destroy them both.","Drama, Romance",6.75
The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","Romance, Science Fiction, Thriller",7.709
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","Action, Science Fiction, Comedy, Family",7.673
The Accountant²,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.","Mystery, Crime, Thriller",7.155
Clown in a Cornfield,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time.","Horror, Mystery, Thriller",6.23
A World Apart,"Elementary school teacher Michele Cortese is about to start a whole new life. After 40 years of teaching in the metropolitan Roman jungle, he had to move to a village in Central Italy, to teach in a tiny school with just a few children aged 7-10. Struggling to overcome his urban inadequacy, he finds a friendly face in vice-principal Agnese and gradually manages to fit in, thanks to her and their spirited pupils. As everything seems to be falling into place, unwelcome news comes through: the school has failed to meet its student quota for the next year and will soon be shut for good.",Comedy,6.479
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure",7.792
Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","Family, Comedy, Animation, Science Fiction",7.022
Your Fault,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,"Romance, Drama",7.127
Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Horror, Action, Thriller",7.545
MANUEL,"In 1943, a Jewish family hides from the nazi roundups. Adam, a 10-year-old boy, following a strange dream, starts a mysterious countdown.",,10.0
Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","Animation, Family, Fantasy",8.534
Almost Cops,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.","Action, Comedy, Crime, Mystery",5.949
Flamin' Hot,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin' Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.","Drama, History",7.965
Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","Action, Thriller, Science Fiction",6.032
Night,Night has to trick the mother of the missing child into sleeping to save her soul.,Animation,10.0
The Naked Gun,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,"Comedy, Crime, Action",6.907
Julia's Lover,"Paralyzed from the waist down after an accident, Cássio's relationship with Julia goes through difficulties. Feeling rejected, she starts a new romance. Based on the novel ""Lady Chatterley's Lover"" by D. H. Lawrence.","Romance, Drama",5.571
Sugar Mill,"A group of young men and women who work as seasonal workers in a sugar factory face terror from the kingdom of demons where the factory is located. They must find out the cause of the demons' anger, before the terror ends their lives.","Horror, Thriller",8.1
Predator: Killer of Killers,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.","Animation, Action, Science Fiction, Thriller",7.92
The Inquiry,A Roman agent is sent to Palestine to investigate rumors of the resurrection of an executed criminal.,"Crime, Drama, History",6.7
Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","Animation, Adventure, Comedy, Family",7.551
Dead Again,"Min-hyeok and Hae-ji, Seon-woong and Mi-mi, who came on a couple's trip to Vietnam, are very excited. Min-hyeok also enjoys a thrilling secret meeting with his wife Hae-ji as well as Mi-mi, who has been in a long-term relationship, and has a satisfying time.  However, Min-hyeok suddenly feels intense pain and stops breathing, and when he opens his eyes thinking he is going to die, it is his first day in Vietnam. Min-hyeok, who is confused about everything, finds out that there is a reason for the vacation that ends in death...","Thriller, Romance, Mystery",9.0
Kalakal,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?","Drama, Romance",6.6
Homo Argentum,"The film consists of 16 shorts that explore, with humor and social criticism, the characteristics of the Argentine identity.",Comedy,5.429
The Edge,"Three young women - an Aussie sprinter, a First Nations powerlifter, and a Japanese Paralympic swimmer - navigate love, education and controversy while embedded in the world of elite sport.","Romance, Drama",5.0
Kiss and Kill,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.","Mystery, Thriller, Romance",5.4
Everyone Is Going to Die,"On his daughter's birthday, a wealthy father's reconciliation attempt is hijacked by two female burglars. A shakedown evolves into a lethal cat-and-mouse as hidden motives emerge, culminating in a life-altering revelation.","Horror, Thriller, Drama",5.3
365 Days: This Day,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Romance, Drama",5.92
Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","Action, Adventure, Science Fiction",7.941
Hook,"Driven by a hallucinogenic drug and a thirst for revenge, James Hook murders John Darling and loses his hand to Peter Pan. Eighteen years later, Wendy, now married to Peter, has a daughter, Lily. Lily discovers Hook is her biological father, leading her to a remote birthday retreat. Hook escapes prison and embarks on a killing spree, targeting Lily and her friends at the manor.",Horror,5.8
Yakuza bayashi,Makino Masahiro film starring Okada Mariko,,10.0
